"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_MORE_INFO"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"comment"
"SF6018"	"Practical Optimization of Ozonation Process for Enhancing Microbial Safety and Food Quality"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6018.htm"	""	""	"To provide a better understanding of the important fundamentals and an effective ozone contacting system for ozone to dissolve into water and attack target microorganisms. A computer program based on the integrated ozonation model will also be devised for the facility design and risk assessment."	"To expand the knowledge of ozone application for food processing industry by using fresh strawberry and green pepper grown with E. coli 0157:H7, Listeria spp. and Salmonella spp., respectively. To quantify the inactivation kinetics for different bacterial contaminants under more realistic conditions by varying bacterial growth conditions. To conduct semi-batch tests to that the results from the laboratory batch testing can be compared and verified further. To evaluate different dissolution technologies that can be used for food processing. To modify and verify the applicability of the integrated ozonation process model developed by the PI for food processing. To provide the regulatory and design guidelines that can achieve effective controlling microbial risks while maintaining the economic competitiveness."	"University of Guelph"	"Zhou, Hongde"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6018.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6019"	"Investigation of Routes for Transfer of Food and Water-borne Pathogens to Produce"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6019.htm"	""	""	"To allow identification of risks associated with the presence of pathogens in soil and help identify strategies to control these hazards."	"To determine if Salmonella , E. coli 0157:H7 and L. monocytogenes can enter the edible portions of lettuce, tomatoes, cucumbers and strawberries through contamination of soil by water or manure. To determine if root damage caused by mechanical action or by plant pathogens influences the systemic spread of foodborne pathogens."	"University of Guelph"	"Griffiths, Mansel"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6019.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6020"	"Occurrence of Enteric Pathogens and Antimicrobial Resistance Patterns in Selected Retail Turkey and Veal Products in Southwestern Ontario"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6020.htm"	""	""	"The results of this study will contribute to the maintenance of Ontario's standards of food safety and preservation of public health by: providing preliminary Ontario-base prevalence data; providing data for use in risk assessments; providing preliminary data for use in the development of on-farm HACCP-based quality assurance programs; improving our understanding of the potential transmission of antimicrobial resistant strains of Campylobacter , Salmonella and E. coli via the foodchain; and providing the basis for further initiatives including investigations into the association between on-farm antimicrobial use and the occurrene of antimicrobial resistant bacteria contaminating retail turkey and veal and the development of an active surveillance system for antimicrobial resistant foodborne pathogens in Canada."	"To determine the prevalence of antimicrobial susceptible and resistant Campylobacter spp., Salmonella and E. coli isolates from fresh retail turkey and veal obtained from a defined geographic area of Ontario. To examine the antimicrobial resistance patterns of Campylobacter spp., Salmonella and E. col i isolated from fresh retail turkey and veal obtained from a defined geographic area of Ontario."	"University of Guelph"	"Ribble, Carl"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6020.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6021"	"Understanding Barriers to the Effective Implementation of HACCP in the Ontario Food Processing Sector"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6021.htm"	""	""	"A better understanding of the process of HACCP implementation, the associated firm-level costs and benefits and the nature and extent of barriers that can inhibit implementation in the context of the food processing sector in Ontario. A series of strategies through which barriers to the adoption of HACCP might be overcome in an effective and cost-efficient manner, integrated into a framework that can be directly applied by OMAF and the food processing sector directly."	""	"University of Guelph"	"Henson, S."	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6021.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6022"	"Identification of Bacterial Components That Influence Colonization of Poultry by Campylobacter jejuni"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6022.htm"	""	""	"Investigation of the colonization of poultry by C. jejuni to determine what factors are required for efficient colonization will provide information that will be essential in developing an effective vaccination program for the control of colonization of poultry by C. jejuni ."	"Long term"	"Veterinary Infectious Disease Organization"	"Allan, Brenda"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6022.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6023"	"Evaluation of Pesticide Solutions in the Transmission of Pathogenic Bacteria to Horticultural Crops"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6023.htm"	""	""	"Identification of pesticides requiring special handling or caution with respect to mixing and storing. Manufacturer responding to possible problems via inclusion of biocides or warning labels or a re-examination of their formulation ingredients. Current assessment of the potential hazard situation and possible explanations to previous foodborne outbreaks involving fruit and vegetables. Future research to investigate factors or ingredients in pesticides, which have the potential to encourage pathogen growth: bacterial and or protozoan."	"Evaluation of potential food safety risks associated with the spraying of pesticides, prepared using on-farm water of unknown bacteriological quality, onto horticultural crops."	"University of Manitoba"	"Holley, Richard"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6023.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6024"	"Evaluation of Essential Oils as an Alternative to Dietary Antibiotics to Control Food-borne Pathogens in Livestock"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6024.htm"	""	""	"To provide an alternative means to control Salmonella and E. coli K88 in swine production. This could potentially reduce the reliance of the industry on dietary antibiotics, minimize the development of antibiotic resistance, and enhance Ontario food safety and quality."	"To identify essential oils or their components that can inhibit the growth of Salmonella , Escherichia coli O157:H7, and E. coli with K88 pili, but not the beneficial gut flora in vitro . To examine the effects of identified essential oils on Salmonella and E. coli K88, gut flora, gut health, and animal (pig) growth performance in vivo ."	"Agriculture and Agri-Food Canada"	"Gong, Joshua"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6024.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6025"	"Development of a Rapid Microarray Based Diagnostic Assay for Detection of the Norwalk Like Virus"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6025.htm"	""	""	"The development of a rapid and sensitive diagnostic tool to screen foods (and water as applicable) for the presence of foodborne viruses. The development of rapid and sensitive diagnostic assays for the detection of foodborne viruses will increase the number of laboratory facilities in Ontario that are able to perform diagnostic testing, thereby facilitating epidemiologic investigation. The development of rapid methods will aid in the evaluation and implementation of appropriate control strategies for viral contamination of foods, particularly in view of the fact that foodborne viruses are resistant to many of the traditional methods used to control bacterial pathogens."	"The development of rapid methods to capture and concentrate enteric viruses from foods. The development of simple and rapid nucleic acid extraction techniques to isolate viral nucleic acid from foods. The development of new molecular methods based on reverse transcriptase-PCR (RT-PCR) and nucleic acid microarray technology, for the rapid and sensitive detection of the NLVs in food, water and environmental samples."	"Health Canada"	"Bidawid, Sabah"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2002/sf6025.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6001"	"Improvement and Validation of a DNA Microchip-based Test for Rapid and Simultaneous Detection of Six Food-borne Pathogens in Food Samples"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6001.htm"	""	""	"Successful completion of our proposed project will result in a DNA chip-based test that can be used for simultaneous detection of the six key food-borne pathogens in a single sample. This will improve the efficiency and effectiveness of the University of Guelph in providing greater services to Ontario's agri-food industries in the areas of food safety. This development will allow testing laboratories and government inspection staff to conduct risk assessment studies in a cost-effective and systematic manner in support of monitoring and surveillance activities and enforcement of regulatory programs. This development will help to ensure that the Ontario agri-food industries remain competitive in providing safe food in meeting the needs of today's food safety conscious consumers. This development will also help to provide faster results for diagnosticians trying to identify the culprits behind infectious diseases."	"Overall:"	"University of Guelph"	"Chen, Shu"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6001.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6002"	"Johne's Disease"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6002.htm"	""	""	"M. paratuberculosis may be the pathogen that causes human Crohn's disease. It could potentially be spread from infected animals to humans through ingestion of milk (even pasteurized), meat or water. Ontario needs the laboratory capability to culture M. paratuberculosis using the new Trek ESP liquid culture system II which offers speed and sensitivity benefits over conventional culture. A direct PCR fecal test would complement the TREK ESP liquid culture system II in individual and herd diagnosis, control and prevalence evaluation as it has a short turnaround time of 2 to 3 days. The Trek ESP liquid culture system II and the PCR fecal test would complement the present Johne's ELISA test in individual and herd diagnosis. The new technology will facilitate the implementation of an Ontario Johne's control program, which will be of benefit to the food safety system in Ontario."	"Overall:"	"University of Guelph"	"Archambault, Marie"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6002.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6003"	"Occurrence of Enteric Pathogens and Antimicrobial Resistance Patterns in Selected Retail Poultry Products and Human Cases in a Southwestern Ontario County"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6003.htm"	""	""	"The integration of data on the occurrence and resistance patterns of Campylobacter isolated from a representative sample of retail poultry, and all laboratory confirmed human cases of campylobacteriosis will improve our understanding of the relative contribution of poultry consumption to infection with both susceptible and resistant strains of Campylobacter ."	"To determine the prevalence of Campylobacter spp, on retail poultry in a defined geographic area of Ontario. To determine the magnitude and burden of illness of human infection with this organism in the same defined geographic area. To examine the temporal relationship between the levels of retail poultry contamination and human illness. To determine if there is a correlation between the antimicrobial resistance patterns found in Camplyobacter spp isolated from the retail poultry and human samples. To investigate potential risk factors for human illness with these pathogens in a defined geographic area."	"University of Guelph"	"McEwen, Scott"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6003.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6004"	"Application of the Impedance and Colorimetric Systems for Rapid and Cost Effective Detection of Listeria Species in Food and Environmental Samples"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6004.htm"	""	""	""	"Overall:"	"University of Guelph"	"Odumeru, Joseph"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6004.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6005"	"Development of an Analytical Method for the Confirmation of Sulfonamides in Animal Tissues"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6005.htm"	""	""	"HPLC instrumentation is readily accessible at Lab Services Division; therefore, when our aging densitometer fails, there will be no need to allocate funds to purchase a new instrument that has limited application. With HPLC, instrument failure should never cause interruption of service, as there are a number of HPLCs available at Lab Services Division. There is only one scanning desitometer. Developing a new method allows us to be proactive and environmentally responsible in phasing out the use of methylene chloride. HPLC offers a variety of separation and detection systems, thus improving the chances of being able to develop a single method suitable for all 7 sulfonamides on the wish list."	"To Develop an HPLC separation for the seven sulfonamides designated by OMAF. To Develop a sample cleanup procedure that will efficiently extract the required sulfas from muscle and liver tissue. Ideally this method will avoid the use of halogenated solvents. To ensure that the chromatographic separation developed in step 1 is suitable for use in tissue extract. Personal communication with CFIA has indicated that the normally-used UV detection may be problematic for liver extracts due to the high number of interfering compounds co-extracted from this matrix along with the sulfonamides. This may necessitate the implementation of a different detection approach such as fluorescence derivatization or mass spectrometry. To validate the new method: describe % recovery, limit of detection, limit of quantitation, precision, within-batch and between-batch reproducibility. To validate the new method against Lab Services Division's existing thin layer chromatographic (TLC) method which is accredited by Standards Council of Canada. Validation will be conducted in swine and bovine tissues. To submit the method for accreditation under the Standards Council of Canada."	"University of Guelph"	"Spilsbury, Louise"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6005.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6006"	"Surveillance of Ontario Pig Farms for Diseases of Public Health Significance"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6006.htm"	""	""	"Material and data from this project will be readily available for scientists wishing to evaluate new diagnostic tests for organisms of public health concern. In the case of a food-poisoning related to pork, a group of representative herds recruited to act as sentinel herds, would make it possible to pull samples from a freezer, do the analysis, and provide the press with a timely response. Information from this study could be a starting point in planning control and eradication programs."	"To determine the prevalence of foodborne pathogens at the farm level and the presence of micro-organisms which pose a public health risk to farm and abattoir workers. To create a surveillance network of sentinel pig herds and swine veterinarians across Ontario in order to detect new disease problems rapidly and respond to public concerns regarding food safety in a timely fashion."	"University of Guelph"	"Friendship, Robert"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6006.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6007"	"Detection of Campylobacter Jejuni by Fluorescent In Situ Hybridization"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6007.htm"	""	""	"The novel culture independent method proposed would overcome the difficulties associated with culturing while still being specific for viable C. jejuni . The new method will support poultry producers and processors in their ongoing efforts of reducing prevalence of the pathogen in the production chain and provide OMAF with a cost-effective procedure for surveillance and enforcement programs."	"To confirm the specificity of an existing fluorescent in situ hybridization (FISH) protocol using a wide range of C. jejuni isolates and non- Campylobacter isolates. If the existing protocol is not as specific as expected, probe design and hybridization conditions will be adjusted accordingly. To develop a buoyant centrifugation based procedure to concentrate C. jejuni from large sample volumes and to separate microbial cells from particles that interfere with FISH detection. To test and validate the newly established FISH protocol with spiked and naturally contaminated poultry products and environmental samples from processing environments."	"Lakehead University"	"Schraft, Heidi"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6007.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6008"	"Assessing the Associations Among Facility Design and Management Practices and Drug Use in Ontario Free Stall Dairy Herds"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6008.htm"	""	""	"The results of this study will provide the dairy industry with a description of how and why drugs are used on Ontario dairy farms. This information could form the basis for further discussion about prudent use of drugs in dairy cattle and help the industry address future consumer concerns regarding the safety of dairy food products. This study will identify management and husbandry practices that are critical to realizing the full potential of these design features. With the current industry trend towards larger herd size and free-stalling housing, it is important to understand the health implications of different design options. Lower drug residue risk and lower risk of antimicrobial-resistant bacteria complements this list of benefits."	"To identify key aspects of facility design and cow management that could have a sparing effect on herd level drug use. To investigate the relationships among veterinary and farmer attitudes and herd level drug use. To investigate antimicrobial resistance patterns in bacterial isolates from culled dairy cattle."	"University of Guelph"	"Kelton, David"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6008.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6009"	"Campylobacter Isolation Methodology and Molecular Characterization"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6009.htm"	""	""	"To improve our understanding of the relative contribution of poultry consumption to infection with resistant strains of Campylobacter . Evaluating the alternative tests against the current official test will validate the alternative tests and provide information on the feasibility of performing enumeration within the Ontario food safety system."	"To determine using molecular sub-typing if Campylobacter spp with similar antimicrobial resistance patterns that are isolated from retail poultry and human samples are associated. To validate the Campy-Cefex Agar method for enumeration of Campylobacter spp. in retail poultry in Ontario."	"University of Guelph"	"McEwen, Scott"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6009.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6010"	"Development of a Novel Protein Chip-Based Test for Rapid and Cost-Effective Salmonella Serotyping"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6010.htm"	""	""	"A rapid, simple, accurate and cost-effective protein chip based-test and associated software that can be used for Salmonella serotyping. The availability of such a test will allow diagnostic labs to provide faster and cost-effective results to food and animal industries and provide an avenue to enhance the safety of Ontario's food supplies."	"Overall"	"University of Guelph"	"Chen, Shu"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6010.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6011"	"Development of a Rapid, Sensitive and Reliable Test for the Detection and Quantification of Escherichia coli in foods"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6011.htm"	""	""	"The outcome of this project is a test that can be used to support an effective food safety system in Ontario."	"To develop a rapid and sensitive, yet reliable test for the identification and quantification of E. coli in water. To adapt the test for the analysis of E. coli in the following liquid foods: bottled water, milk, orange juice. To adapt the test for analysis of E. coli in the following solid foods: freshly-slaughtered beef, pork, and poultry, and three vegetable products from a farm. To develop a design for the packaging and automation of the test so that is can be easily used in the field (on site) by a trained technician for all food uses in small, medium or large operations."	"Queen's University"	"Brown, Stephen"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6011.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6012"	"A Community Trial to Determine an Effective Intervention for the Delivery of HACCP to the Food Service Sector"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6012.htm"	""	""	"This project will contribute to the food safety system in Ontario by evaluating how the application of HACCP (Hazard Appraisal Critical Control Point) principles can be applied successfully to the food service industry. The result will be an improved food safety intervention to benefit those at the local, provincial, federal levels of government as well as the food service industry."	"To determine the acceptability among food service managers and staff of a food safety program based on HACCP principles. To identify barriers and opportunities for the delivery of a food safety program based on HACCP principles. To evaluate the effectiveness of a program based on HACCP principles, relative to a routine program, to improve understanding among food service managers and staff of the principles of food safety. Evaluate the effectiveness, relative to a routine food safety program, of a food safety program based on HACCP principles to reduce behavioural and environmental risks of food borne illnesses in the food service industry."	"Central West Health Planning Information Network"	"Abernathy, Tom"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6012.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6013"	"Development and validation of a screening protocol for identifying sulfamethazine-violative swine carcasses at Ontario abattoirs"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6013.htm"	""	""	"Eliminate the need to hold non-violative carcasses overnight or longer while waiting for laboratory test results. Allow re-allocation of OMAF funds away from laboratory screening costs and into confirmation analysis costs, ensuring that condemnation of violative carcasses is based on internationally recognized, highly defendable methodology. Increase OMAF's flexibility in obtaining testing whenever required. Demonstration environmental responsibility in reducing/removing need for a laboratory method (SOS test) that utilizes a toxic solvent requiring expensive disposal practices. Demonstrate its proactive response to Food Safety concerns on the National and International scene such as the need to update and replace old technologies which are obsolete and more efficient options become available."	"To develop methodology that will identify potentially violative carcasses via urine analysis. To validate the rapid-test at the established urine cutoff point for predicting violative levels in swine liver and muscle. Train OMAF inspection staff to use the rapid-test in an abattoir environment."	"University of Guelph"	"Mitchell, Mark"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2001/sf6013.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
